 # step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      7.53e-01    8.42e-01      2.14e-03    9.16e-04      2.38e-02    2.66e-02    1.0e-03
    100      8.01e-01    6.80e-01      8.75e-03    2.74e-03      2.53e-02    2.15e-02    1.0e-03
    200      9.78e-01    9.95e-01      3.58e-02    3.39e-02      3.09e-02    3.14e-02    1.0e-03
    300      6.88e-01    1.04e+00      9.47e-03    5.95e-04      2.17e-02    3.29e-02    1.0e-03
    400      5.88e-01    6.79e-01      1.39e-02    1.54e-02      1.86e-02    2.14e-02    1.0e-03
    500      6.17e-01    6.44e-01      1.65e-03    3.99e-03      1.95e-02    2.04e-02    1.0e-03
    600      9.45e-01    1.19e+00      3.73e-02    1.22e-03      2.98e-02    3.77e-02    1.0e-03
    700      7.58e-01    8.37e-01      9.59e-03    2.87e-03      2.40e-02    2.65e-02    1.0e-03
    800      6.65e-01    8.04e-01      3.52e-03    1.65e-03      2.10e-02    2.54e-02    1.0e-03
    900      6.75e-01    5.34e-01      2.39e-02    1.57e-02      2.13e-02    1.69e-02    1.0e-03
   1000      6.58e-01    6.19e-01      7.65e-03    5.99e-03      2.08e-02    1.96e-02    1.0e-03
   1100      8.11e-01    7.92e-01      2.00e-02    1.11e-02      2.56e-02    2.51e-02    1.0e-03
   1200      6.68e-01    5.85e-01      8.57e-03    7.41e-03      2.11e-02    1.85e-02    1.0e-03
   1300      7.04e-01    9.19e-01      1.66e-02    1.78e-02      2.22e-02    2.91e-02    1.0e-03
   1400      6.64e-01    8.99e-01      1.04e-02    6.63e-02      2.10e-02    2.84e-02    1.0e-03
   1500      6.39e-01    7.61e-01      2.61e-02    2.28e-02      2.02e-02    2.40e-02    1.0e-03
   1600      6.33e-01    6.96e-01      1.48e-02    1.18e-02      2.00e-02    2.20e-02    1.0e-03
   1700      8.31e-01    4.73e-01      2.24e-02    1.27e-02      2.63e-02    1.49e-02    1.0e-03
   1800      7.07e-01    6.28e-01      2.61e-02    3.89e-02      2.23e-02    1.98e-02    1.0e-03
   1900      5.94e-01    6.04e-01      1.04e-02    9.61e-03      1.88e-02    1.91e-02    1.0e-03
   2000      7.05e-01    6.13e-01      8.94e-03    8.90e-03      2.23e-02    1.94e-02    1.0e-03
   2100      1.55e+00    1.26e+00      3.71e-03    9.68e-03      4.91e-02    3.97e-02    1.0e-03
   2200      6.93e-01    5.42e-01      3.29e-03    6.11e-04      2.19e-02    1.71e-02    1.0e-03
   2300      6.99e-01    8.36e-01      1.14e-02    7.25e-02      2.21e-02    2.64e-02    1.0e-03
   2400      6.78e-01    7.49e-01      3.53e-02    2.64e-02      2.14e-02    2.37e-02    1.0e-03
   2500      8.15e-01    7.50e-01      9.37e-03    6.48e-03      2.58e-02    2.37e-02    1.0e-03
   2600      6.97e-01    7.92e-01      1.45e-02    1.59e-02      2.20e-02    2.50e-02    1.0e-03
   2700      7.01e-01    6.71e-01      1.29e-02    6.02e-03      2.22e-02    2.12e-02    1.0e-03
   2800      7.28e-01    7.94e-01      9.61e-03    1.82e-03      2.30e-02    2.51e-02    1.0e-03
   2900      1.14e+00    9.87e-01      1.61e-02    1.44e-02      3.61e-02    3.12e-02    1.0e-03
   3000      7.38e-01    5.67e-01      3.65e-03    7.78e-03      2.34e-02    1.79e-02    1.0e-03
   3100      7.97e-01    5.88e-01      6.79e-03    2.28e-03      2.52e-02    1.86e-02    1.0e-03
   3200      7.08e-01    1.02e+00      2.81e-02    3.30e-02      2.23e-02    3.23e-02    1.0e-03
   3300      6.55e-01    6.47e-01      2.65e-03    3.02e-03      2.07e-02    2.05e-02    1.0e-03
   3400      8.02e-01    9.13e-01      7.25e-03    7.80e-03      2.54e-02    2.89e-02    1.0e-03
   3500      7.77e-01    7.76e-01      9.81e-04    1.16e-03      2.46e-02    2.45e-02    1.0e-03
   3600      6.98e-01    7.18e-01      3.34e-02    2.59e-02      2.20e-02    2.27e-02    1.0e-03
   3700      7.79e-01    6.83e-01      3.66e-02    3.81e-02      2.46e-02    2.15e-02    1.0e-03
   3800      7.74e-01    6.18e-01      1.20e-02    1.58e-02      2.45e-02    1.95e-02    1.0e-03
   3900      6.62e-01    5.75e-01      5.25e-03    1.44e-03      2.09e-02    1.82e-02    1.0e-03
   4000      8.19e-01    5.74e-01      8.06e-03    9.50e-03      2.59e-02    1.81e-02    1.0e-03
   4100      6.89e-01    6.30e-01      2.42e-02    2.04e-02      2.18e-02    1.99e-02    1.0e-03
   4200      6.52e-01    5.61e-01      1.73e-02    1.23e-02      2.06e-02    1.77e-02    1.0e-03
   4300      6.97e-01    6.16e-01      1.01e-02    3.31e-03      2.20e-02    1.95e-02    1.0e-03
   4400      7.81e-01    8.48e-01      2.00e-02    2.21e-02      2.47e-02    2.68e-02    1.0e-03
   4500      7.17e-01    5.41e-01      6.69e-03    8.13e-03      2.27e-02    1.71e-02    1.0e-03
   4600      6.45e-01    9.12e-01      2.65e-02    7.24e-02      2.04e-02    2.88e-02    1.0e-03
   4700      7.25e-01    6.37e-01      2.37e-02    2.23e-02      2.29e-02    2.01e-02    1.0e-03
   4800      8.01e-01    7.07e-01      1.39e-02    7.10e-02      2.53e-02    2.23e-02    1.0e-03
   4900      6.97e-01    5.16e-01      1.60e-02    5.36e-03      2.20e-02    1.63e-02    1.0e-03
   5000      8.11e-01    9.21e-01      3.69e-02    2.74e-02      2.56e-02    2.91e-02    1.0e-03
   5100      5.59e-01    8.60e-01      1.18e-02    7.96e-03      1.77e-02    2.72e-02    1.0e-03
   5200      7.43e-01    7.54e-01      1.75e-03    1.52e-03      2.35e-02    2.38e-02    1.0e-03
   5300      7.12e-01    6.90e-01      1.37e-02    1.80e-02      2.25e-02    2.18e-02    1.0e-03
   5400      8.48e-01    7.43e-01      1.40e-02    9.93e-03      2.68e-02    2.35e-02    1.0e-03
   5500      5.94e-01    4.87e-01      1.61e-02    1.32e-02      1.88e-02    1.54e-02    1.0e-03
   5600      6.47e-01    6.87e-01      4.14e-02    4.28e-02      2.04e-02    2.17e-02    1.0e-03
   5700      6.11e-01    5.36e-01      1.51e-02    1.43e-02      1.93e-02    1.69e-02    1.0e-03
   5800      7.49e-01    5.93e-01      9.79e-03    3.58e-03      2.37e-02    1.87e-02    1.0e-03
   5900      6.00e-01    5.29e-01      1.84e-02    1.97e-02      1.89e-02    1.67e-02    1.0e-03
   6000      7.35e-01    9.07e-01      1.52e-02    7.17e-03      2.32e-02    2.87e-02    1.0e-03
   6100      5.83e-01    5.95e-01      1.68e-03    1.93e-03      1.84e-02    1.88e-02    1.0e-03
   6200      6.04e-01    4.79e-01      2.30e-02    1.32e-04      1.91e-02    1.52e-02    1.0e-03
   6300      6.34e-01    8.13e-01      2.30e-02    1.36e-02      2.00e-02    2.57e-02    1.0e-03
   6400      7.48e-01    8.01e-01      3.39e-02    3.01e-02      2.36e-02    2.53e-02    1.0e-03
   6500      6.86e-01    8.88e-01      2.30e-02    3.66e-02      2.17e-02    2.81e-02    1.0e-03
   6600      5.75e-01    5.96e-01      2.91e-02    3.89e-02      1.81e-02    1.88e-02    1.0e-03
   6700      6.20e-01    7.05e-01      3.98e-02    3.47e-02      1.95e-02    2.23e-02    1.0e-03
